model,question_id,question,answer_length,latency,throughput,cosine_similarity,precision,entity_overlap_truth,hallucination_count,has_hallucination,error
mistral:latest,12,What is the recommended maximum alcohol consumption per week for cardiovascular disease prevention?,122,48.80844784,3.249437485,0.35661134,0,0,0,FALSE,
mistral:latest,13,"According to the 2020 ACC/AHA guidelines, what are the stages of valvular heart disease and their de",149,53.1485815,3.6444999,0.269512146,0,0,0,FALSE,
mistral:latest,14,"In patients with atrial fibrillation and valvular heart disease, what is the recommended anticoagula",63,25.74415493,3.181304658,0.308250101,0,0,0,FALSE,
mistral:latest,15,"According to the guidelines, what are the indications for transcatheter aortic valve implantation (T",130,38.65720153,4.37175981,0.131365587,1,0.285714286,0,FALSE,
mistral:latest,16,What is the recommended management for asymptomatic patients with chronic severe aortic regurgitatio,84,30.57258201,3.571827855,0.419771974,1,1,0,FALSE,
mistral:latest,17,"For an adult patient with hypertension and chronic kidney disease, what blood pressure treatment goa",68,46.90036201,1.884846858,0.414965895,0,0,0,FALSE,
mistral:latest,18,"For primary prevention in a 40-75 year old adult with diabetes mellitus, what intensity of statin th",49,49.26833224,1.292919754,0.209755396,0.333333333,1,1,TRUE,
olmo2:latest,1,What is the recommended first-line therapy for lipid lowering in patients with chronic coronary dise,254,104.8381524,3.149616742,0.603005567,0.285714286,1,1,TRUE,
olmo2:latest,2,When is long-term beta-blocker therapy NOT recommended for improving outcomes in patients with chron,377,136.0212953,3.603112284,0.54248885,0.571428571,1,0,TRUE,
olmo2:latest,3,"For patients with CCD and type 2 diabetes, what two classes of glucose-lowering medications are reco",351,146.3575916,3.117706399,0.42688938,0.4,1,1,TRUE,
olmo2:latest,4,"In patients with CCD and angina, what are the recommended first-line anti-anginal therapies for symp",412,146.465368,3.656837157,0.333208855,0.5,0.2,0,TRUE,
olmo2:latest,5,What are the four medication classes that make up guideline-directed medical therapy (GDMT) for hear,300,116.4727023,3.348424072,0.136676537,0.5,0.4,0,TRUE,
olmo2:latest,6,How is heart failure with preserved ejection fraction (HFpEF) defined in terms of left ventricular e,221,91.01348376,3.156675122,0.160457995,0.333333333,1,0,FALSE,
olmo2:latest,7,What are the criteria for implantable cardioverter-defibrillator (ICD) therapy for primary preventio,426,143.8548918,3.849712673,0.370135127,0.666666667,0.4,0,TRUE,
olmo2:latest,8,What diagnostic biomarker tests are recommended for patients presenting with dyspnea to support or e,437,162.584661,3.494179565,0.265540018,1,1,0,TRUE,
olmo2:latest,9,What is the definition of hypertension according to office blood pressure measurements?,281,109.7333941,3.328977499,0.502562239,0.428571429,1,2,TRUE,
olmo2:latest,10,What are the recommended LDL-C (low-density lipoprotein cholesterol) goals for patients with establi,444,164.7180715,3.504169244,0.407483662,0.090909091,0.333333333,1,TRUE,
olmo2:latest,11,"What is the recommended physical activity for adults to reduce all-cause mortality, CV mortality, an",177,70.18494225,3.278481005,0.383539309,0,0,0,TRUE,
olmo2:latest,12,What is the recommended maximum alcohol consumption per week for cardiovascular disease prevention?,227,75.61044145,3.902900107,0.436292987,0,0,0,FALSE,
olmo2:latest,13,"According to the 2020 ACC/AHA guidelines, what are the stages of valvular heart disease and their de",352,110.7436271,4.132066215,0.207951479,0,0,2,TRUE,
olmo2:latest,14,"In patients with atrial fibrillation and valvular heart disease, what is the recommended anticoagula",200,66.48133993,3.910871837,0.387043316,0,0,0,TRUE,
olmo2:latest,15,"According to the guidelines, what are the indications for transcatheter aortic valve implantation (T",241,69.69390416,4.495371636,0.187390265,0.5,0.285714286,0,FALSE,
olmo2:latest,16,What is the recommended management for asymptomatic patients with chronic severe aortic regurgitatio,315,84.68983889,4.835290814,0.252720544,1,1,0,FALSE,
olmo2:latest,17,"For an adult patient with hypertension and chronic kidney disease, what blood pressure treatment goa",222,88.68545103,3.254197804,0.309928229,0,0,1,TRUE,
olmo2:latest,18,"For primary prevention in a 40-75 year old adult with diabetes mellitus, what intensity of statin th",244,104.039453,3.048843403,0.248331923,0.2,1,1,TRUE,
